formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,cif_source,local_cif_name
LiY2Se3Br,Direct,0.7377,0.4883,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2Se3Br.cif,LiY2Se3Br.cif
LiY2Se3I,Direct,1.0904,0.4718,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2Se3I.cif,LiY2Se3I.cif
LiY2Te3Br,Direct,0.564,0.3483,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2Te3Br.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2Te3Br.cif,LiY2Te3Br.cif
LiY2Te3Cl,Direct,0.6185,0.3728,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2Te3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2Te3Cl.cif,LiY2Te3Cl.cif
LiY2Te3F,Direct,0.9604,0.2427,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2Te3F.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2Te3F.cif,LiY2Te3F.cif
LiY2Te3I,Direct,0.7036,0.3763,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiY2Te3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiY2Te3I.cif,LiY2Te3I.cif
LiZnSeBr,Direct,0.8096,0.736,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiZnSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/LiZnSeBr.cif,LiZnSeBr.cif
LiZnTeCl,Direct,0.6383,0.6525,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiZnTeCl.cif,PROJECT_ROOT/Data/predict_final_main6/LiZnTeCl.cif,LiZnTeCl.cif
LiZr2Te3I,Direct,0.5448,0.0786,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/LiZr2Te3I.cif,PROJECT_ROOT/Data/predict_final_main6/LiZr2Te3I.cif,LiZr2Te3I.cif
LiZrSCl2,Direct,1.0186,0.7304,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/LiZrSCl2.cif,PROJECT_ROOT/Data/predict_final_main6/LiZrSCl2.cif,LiZrSCl2.cif
Lu2CuS3Br,Direct,0.8195,0.4651,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Lu2CuS3Br.cif,PROJECT_ROOT/Data/predict_final_main6/Lu2CuS3Br.cif,Lu2CuS3Br.cif
Lu2CuS3Cl,Direct,0.8137,0.5447,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Lu2CuS3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/Lu2CuS3Cl.cif,Lu2CuS3Cl.cif
Lu2CuS3I,Direct,0.5885,0.4007,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Lu2CuS3I.cif,PROJECT_ROOT/Data/predict_final_main6/Lu2CuS3I.cif,Lu2CuS3I.cif
Lu2CuSe3Br,Direct,0.5242,0.326,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Lu2CuSe3Br.cif,PROJECT_ROOT/Data/predict_final_main6/Lu2CuSe3Br.cif,Lu2CuSe3Br.cif
LuAgSCl2,Direct,1.0829,0.4929,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgLuSCl2.cif,PROJECT_ROOT/Data/predict_final_main6/LuAgSCl2.cif,LuAgSCl2.cif
LuAgTeF2,Direct,0.9259,0.5393,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed,PROJECT_ROOT/Data/predict_new_relaxed/AgLuTeF2.cif,PROJECT_ROOT/Data/predict_final_main6/LuAgTeF2.cif,LuAgTeF2.cif
