mp_id,formula,bg_eV,gap_type,ehull,stable
mp-1199124,,5.0711,Indirect,0.0,Stable
mp-1200476,,3.0284,Indirect,0.0298,Stable
mp-1223113,,0.383,Indirect,0.6617,Unstable
mp-721059,,3.3226,Direct,0.3975,Unstable
mp-728472,,3.1831,Indirect,0.136,Unstable
mp-28128,,2.093,Indirect,0.0534,Stable
mp-27362,Nb(SCl)2,1.5102,Direct,0.0,Stable
mp-1206395,Tl2SCl2,2.134,Indirect,0.6175,Unstable
mp-554711,,2.957,Indirect,0.1606,Unstable
mp-23418,Hg3(SCl)2,1.9398,Indirect,0.0,Stable
mp-1198863,Hg3(SCl)2,1.8038,Direct,0.0055,Stable
