ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-1216106,3.5401,Direct,0.0092
mp-1217635,3.5880,Direct,0.0054
mp-1220289,3.4275,Direct,0.0318
mp-1219205,3.5041,Direct,0.0008
mp-1224058,3.6385,Direct,0.0102
mp-1224717,1.9623,Indirect,0.0000
mp-1225346,3.6131,Direct,0.0063
mp-560409,2.1438,Direct,0.1498
mp-556223,5.4516,Indirect,0.4230
mp-562018,4.3341,Indirect,0.5163
mp-1212674,2.8104,Indirect,0.2302
mp-559455,3.4412,Indirect,0.1215
mp-1182745,2.4838,Indirect,0.4684
mp-1214114,4.0393,Indirect,0.1989
mp-672266,4.0702,Indirect,0.2631
mp-554876,2.8314,Indirect,0.1899
mp-696078,5.0454,Indirect,0.0000
mp-699555,2.0408,Indirect,0.6032
mp-707845,0.9258,Direct,0.0621
mp-555067,1.5258,Indirect,0.2651
mp-975,5.9124,Indirect,0.0000
mp-8652,5.9243,Direct,0.0003
mp-642824,5.9606,Indirect,0.0019
mp-8560,5.8139,Direct,0.0089
mp-1023371,0.0000,Metal,2.8154
mp-1013726,2.1914,Direct,0.0266
mp-1214118,4.0187,Indirect,0.3145
mp-27578,1.2407,Indirect,0.0000
mp-1021490,2.6861,Indirect,0.0438
mp-1207067,3.2434,Indirect,1.1791
mp-1021492,0.7836,Direct,0.0277
mp-1013750,2.5945,Direct,0.0446
mp-1214177,4.3393,Indirect,0.5616
mp-12368,2.6713,Direct,0.0961
mp-8500,2.6080,Indirect,0.1084
mp-560180,2.5059,Indirect,0.3528
mp-555288,2.5320,Indirect,0.0000
mp-556050,2.2575,Indirect,0.0769
mp-558466,2.5087,Indirect,0.0000
mp-560042,1.5036,Indirect,0.1717
mp-556837,2.7650,Indirect,0.0000
mp-557628,1.1714,Indirect,0.0000
mp-558583,1.8088,Direct,0.3660
mp-559602,2.7813,Indirect,0.0000
mp-555194,2.7984,Indirect,0.0000
mp-555408,2.0126,Direct,0.1996
mp-555457,4.0479,Indirect,0.0000
mp-556705,3.7948,Indirect,0.0000
mp-560639,2.6548,Indirect,0.0012
mp-23112,0.0000,Metal,0.1037
mp-2932665,0.4967,Indirect,0.0000
mp-554289,0.5875,Indirect,0.1838
mp-637112,1.8307,Indirect,0.1855
mp-1246700,3.2989,Direct,0.4363
mp-18626,0.0000,Metal,0.0000
mp-17745,0.0000,Metal,0.0000
mp-541145,3.0337,Direct,0.3055
mp-6820,0.0000,Metal,0.0172
mp-560107,2.4223,Indirect,0.0458
mp-683956,3.3498,Indirect,0.1398
mp-769588,1.0429,Indirect,0.0725
mp-2217837,0.6807,Indirect,0.4120
mp-1199019,2.5554,Indirect,0.0000
mp-1214996,1.5211,Indirect,0.1652
mp-557904,1.5584,Indirect,0.1303
mp-557470,0.0000,Metal,0.0000
mp-557877,7.1030,Indirect,0.2326
mp-560986,1.5718,Indirect,0.1295
mp-39536,6.0209,Direct,0.1759
mp-40886,5.5260,Indirect,0.1790
mp-505281,2.6292,Indirect,0.0000
mp-638469,6.1553,Indirect,0.1717
mp-728443,1.1549,Indirect,0.4640
mp-622197,2.1952,Indirect,0.0000
mp-680169,4.9055,Direct,0.0000
mp-1179614,4.3864,Indirect,0.0000
mp-555656,0.2434,Indirect,0.1775
mp-684804,2.2023,Direct,0.5421
mp-759958,2.8520,Indirect,0.1240
mp-1194943,1.9664,Indirect,0.3104
mp-2217781,2.1246,Indirect,0.3052
mp-1204119,0.2045,Direct,0.4231
mp-556154,2.5393,Indirect,0.3600
mp-769600,1.1574,Indirect,0.0553
mp-1200466,0.0423,Indirect,0.2567
mp-1213742,0.3019,Direct,0.2672
mp-1209560,0.0000,Metal,1.0132
mp-695699,0.7743,Indirect,0.3921
mp-1200671,3.2553,Indirect,0.1654
mp-699429,2.4226,Indirect,0.1608
mp-743577,4.3131,Indirect,0.1302
mp-1194856,3.9067,Indirect,0.2824
mp-1195079,6.1847,Indirect,0.2280
mp-1194781,4.3372,Direct,0.4507
mp-560589,2.2159,Direct,0.1040
mp-561321,2.2285,Indirect,0.1462
mp-699253,5.5289,Indirect,0.2532
mp-708184,5.8948,Indirect,0.3468
mp-1196633,2.7103,Indirect,0.3155
mp-573066,5.9374,Direct,0.2162
mp-723065,5.8985,Indirect,0.2456
mp-1196643,0.0016,Indirect,0.5019
mp-1196797,1.8455,Indirect,0.4817
mp-1200245,3.3164,Direct,0.1559
mp-1209137,3.2855,Indirect,0.0359
mp-1238618,3.1991,Indirect,0.0400
mp-2229247,0.0000,Metal,0.5962
mp-649756,1.8836,Direct,0.2635
mp-557395,5.9655,Indirect,0.2422
mp-707466,6.4190,Indirect,0.2384
mp-6902,6.2589,Direct,0.2241
mp-616160,3.0643,Direct,0.5292
mp-554710,2.6314,Indirect,0.1681
mp-1204843,0.5519,Direct,0.4830
mp-1202301,3.2089,Direct,0.0035
mp-1204443,3.0185,Direct,0.0000
mp-27349,4.9968,Indirect,0.0000
mp-1197121,3.4888,Indirect,0.0435
mp-556762,4.9587,Indirect,0.2352
mp-1197346,5.0502,Indirect,0.0057
mp-605676,3.1637,Direct,0.2593
mp-565400,2.2522,Direct,0.1956
mp-1234900,3.0932,Indirect,0.0846
mp-1233665,2.7551,Indirect,0.1461
mp-1219884,2.6461,Direct,0.0000
mp-1220263,2.6690,Direct,0.0266
mp-1223425,2.6035,Direct,0.0000
mp-1224731,1.5214,Indirect,0.1000
mp-1234712,0.3839,Indirect,0.1783
mp-41092,4.0322,Indirect,0.0305
mp-1198254,0.6910,Direct,0.3398
mp-1194939,0.5619,Indirect,0.0000
mp-1214666,0.2631,Direct,0.2373
mp-1342613,0.0000,Metal,5.3169
mp-1229176,3.8372,Indirect,0.0282
mp-603276,0.0000,Metal,0.0066
mp-1247811,0.4187,Indirect,0.5051
mp-695900,4.5393,Indirect,0.1248
mp-23872,5.8611,Indirect,0.0011
mp-1247925,1.2189,Indirect,0.2499
mp-556515,3.9591,Direct,0.0466
mp-695196,0.3272,Indirect,0.5509
mp-1211985,0.3535,Indirect,0.1794
mp-1194984,1.4401,Indirect,0.4433
mp-557900,3.8215,Indirect,0.0508
mp-560077,2.2156,Indirect,0.0422
mp-561244,3.8312,Indirect,0.0858
mp-1211666,0.0000,Metal,0.8162
mp-1212475,0.0269,Indirect,0.8982
mp-558687,3.5403,Direct,0.3132
mp-696994,4.0787,Indirect,0.0024
mp-1198517,3.0538,Indirect,0.2225
mp-555189,5.9665,Direct,0.1516
mp-699914,3.1326,Direct,0.6059
mp-1198235,2.7202,Direct,0.1933
mp-540953,5.3632,Indirect,0.1445
mp-541101,5.9660,Indirect,0.1451
mp-540956,5.9591,Indirect,0.1439
mp-1199850,5.5252,Indirect,0.1419
mp-505716,0.0000,Metal,0.1492
mp-540955,5.7748,Indirect,0.1463
mp-543032,6.0577,Indirect,0.1483
mp-707824,3.6119,Indirect,0.1353
mp-1196706,4.9442,Indirect,0.0991
mp-693773,3.9347,Direct,0.1690
mp-1195293,3.0602,Indirect,0.0563
mp-1203926,1.9685,Indirect,0.1656
mp-1214334,3.1756,Indirect,0.2982
mp-1196491,4.8191,Direct,0.0000
mp-1210853,2.0929,Direct,0.3473
mp-556406,4.5450,Indirect,0.0402
mp-1204134,2.2503,Direct,0.0284
mp-1214763,0.6846,Direct,0.2056
mp-1203746,2.5478,Indirect,0.2850
mp-727093,0.7425,Indirect,0.6746
mp-1193289,4.6288,Indirect,0.0847
mp-541094,2.4645,Indirect,0.0000
mp-541093,2.3509,Indirect,0.0000
mp-554788,2.9961,Direct,0.3000
mp-560450,3.5694,Direct,0.0853
mp-561235,4.6609,Indirect,0.0968
mp-558893,4.4780,Indirect,0.0855
mp-1204430,0.5440,Indirect,0.1966
mp-555986,3.2632,Indirect,0.2020
mp-1196293,0.1027,Indirect,0.3547
mp-723419,1.9679,Indirect,0.0000
mp-28291,4.9705,Indirect,0.0000
mp-1200138,1.0470,Indirect,0.1362
mp-662789,2.0842,Direct,0.0868
mp-1195784,0.8569,Indirect,0.2106
mp-1226414,4.4739,Indirect,0.0000
mp-541204,2.2041,Indirect,0.1068
mp-1006611,0.0000,Metal,0.9499
mp-1247820,0.5332,Indirect,0.5360
mp-1198499,2.5374,Indirect,0.0656
mp-1201031,3.2295,Indirect,0.0317
mp-1204738,3.2335,Indirect,0.0967
mp-1229221,1.5494,Indirect,0.1476
mp-556926,0.7933,Indirect,0.0311
mp-559097,1.6270,Indirect,0.0200
mp-555121,3.5869,Indirect,0.0517
mp-561487,1.2366,Indirect,0.1278
mp-651154,0.0000,Metal,0.1697
mp-560703,2.0331,Indirect,0.1324
