formula,in_final_main6,in_excluded_training_overlap,final_file,excluded_file,dft_files,main6_type,main6_source_dir
CsYSeCl2,Yes,No,CsYSeCl2.cif,,CsYSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYSeI2,Yes,No,CsYSeI2.cif,,CsYSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYTeBr2,Yes,No,CsYTeBr2.cif,,CsYTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYTeCl2,Yes,No,CsYTeCl2.cif,,CsYTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CsYTeI2,Yes,No,CsYTeI2.cif,,CsYTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiSBr2,Yes,No,CuBiSBr2.cif,,CuBiSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiSCl2,No,Yes,,CuBiSCl2.cif,CuBiSCl2.vasp,,
CuBiSI2,Yes,No,CuBiSI2.cif,,CuBiSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiSeBr2,Yes,No,CuBiSeBr2.cif,,CuBiSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiSeCl2,Yes,No,CuBiSeCl2.cif,,CuBiSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiSeI2,Yes,No,CuBiSeI2.cif,,CuBiSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiTeBr2,Yes,No,CuBiTeBr2.cif,,CuBiTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiTeCl2,Yes,No,CuBiTeCl2.cif,,CuBiTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuBiTeI2,Yes,No,CuBiTeI2.cif,,CuBiTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbSBr2,Yes,No,CuSbSBr2.cif,,CuSbSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbSCl2,Yes,No,CuSbSCl2.cif,,CuSbSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbSI2,Yes,No,CuSbSI2.cif,,CuSbSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbSeBr2,Yes,No,CuSbSeBr2.cif,,CuSbSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbSeCl2,Yes,No,CuSbSeCl2.cif,,CuSbSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbSeI2,Yes,No,CuSbSeI2.cif,,CuSbSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbTeBr2,Yes,No,CuSbTeBr2.cif,,CuSbTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbTeCl2,Yes,No,CuSbTeCl2.cif,,CuSbTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
CuSbTeI2,Yes,No,CuSbTeI2.cif,,CuSbTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgSBr2,Yes,No,GaAgSBr2.cif,,AgGaSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgSCl2,Yes,No,GaAgSCl2.cif,,AgGaSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgSI2,Yes,No,GaAgSI2.cif,,AgGaSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgSeBr2,Yes,No,GaAgSeBr2.cif,,AgGaSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgSeCl2,Yes,No,GaAgSeCl2.cif,,AgGaSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgSeI2,Yes,No,GaAgSeI2.cif,,AgGaSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgTeBr2,Yes,No,GaAgTeBr2.cif,,AgGaTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgTeCl2,Yes,No,GaAgTeCl2.cif,,AgGaTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAgTeI2,Yes,No,GaAgTeI2.cif,,AgGaTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaAuSBr2,Yes,No,GaAuSBr2.cif,,AuGaSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaAuSCl2,Yes,No,GaAuSCl2.cif,,AuGaSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaAuSI2,Yes,No,GaAuSI2.cif,,AuGaSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaAuSeBr2,Yes,No,GaAuSeBr2.cif,,AuGaSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaAuSeCl2,Yes,No,GaAuSeCl2.cif,,AuGaSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaAuSeI2,Yes,No,GaAuSeI2.cif,,AuGaSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
GaCuSBr2,Yes,No,GaCuSBr2.cif,,CuGaSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuSCl2,Yes,No,GaCuSCl2.cif,,CuGaSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuSI2,Yes,No,GaCuSI2.cif,,CuGaSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuSeBr2,Yes,No,GaCuSeBr2.cif,,CuGaSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuSeCl2,Yes,No,GaCuSeCl2.cif,,CuGaSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuSeI2,Yes,No,GaCuSeI2.cif,,CuGaSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuTeBr2,Yes,No,GaCuTeBr2.cif,,CuGaTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuTeCl2,Yes,No,GaCuTeCl2.cif,,CuGaTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
GaCuTeI2,Yes,No,GaCuTeI2.cif,,CuGaTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
