file,formula,group,pattern,n_metals_or_non_chx,has_O,has_N,extra_elements,elements
mp-1235788.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1235827.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1236013.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1236046.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1236135.cif,LiNb2Te4Cl10O,oxy_chalcohalide,,3,True,False,O,Cl Li Nb O Te
mp-1236147.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1236160.cif,LiAu4Se4(ClO3)4,oxy_chalcohalide,,3,True,False,O,Au Cl Li O Se
mp-1236214.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1236376.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1236401.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-1236687.cif,K2LiS2(O2F)2,oxy_chalcohalide,,3,True,False,O,F K Li O S
mp-1236727.cif,LiTa2Te4Br10O,oxy_chalcohalide,,3,True,False,O,Br Li O Ta Te
mp-12368.cif,SbS2NF6,nitride_chalcohalide,,2,False,True,N,F N S Sb
mp-1236964.cif,MgTe3(ClO)6,oxy_chalcohalide,,2,True,False,O,Cl Mg O Te
mp-1238685.cif,GaHg3AsSCl4,other_chalcohalide_with_nonwhitelist_elements,,3,False,False,As Hg,As Cl Ga Hg S
mp-12444.cif,SrCuSF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Cu F S Sr
mp-1245640.cif,Pb4SBr6,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Pb,Br Pb S
mp-1246700.cif,Ca2Ni2SF6,pure_ABC_Ch_X_other_charge_balanced_or_complex,B2B2_Ch1_X6,2,False,False,,Ca F Ni S
mp-1247820.cif,As2S5N4(OF6)2,oxy_nitride_chalcohalide,,3,True,True,As N O,As F N O S
mp-1247930.cif,Ag7(SI)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Ag I S
mp-1250779.cif,AlSn3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl O Se Sn
mp-12620.cif,NdSeF,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Nd,F Nd Se
mp-12621.cif,NdTeF,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Nd,F Nd Te
mp-1264957.cif,AlCo3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl Co O Se
mp-1266944.cif,AlMo3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl Mo O Se
mp-1323771.cif,MgCrSF5,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Cr,Cr F Mg S
mp-13287.cif,BaCuTeF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ba Cu F Te
mp-13339.cif,EuCuTeF,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Eu,Cu Eu F Te
mp-1337931.cif,RhSCl5,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Cl Rh S
mp-1340471.cif,AlMo3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl Mo O Se
mp-1342613.cif,Na12Mn3S6(O3F)8,oxy_chalcohalide,,3,True,False,O,F Mn Na O S
mp-13551.cif,ScTeO3F,oxy_chalcohalide,,2,True,False,O,F O Sc Te
mp-1356028.cif,Ba2Cu4Te4Cl4O11,oxy_chalcohalide,,3,True,False,O,Ba Cl Cu O Te
mp-1369435.cif,VZnSF5,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,F S V Zn
mp-1403285.cif,In2CuTe3Br,selected_13_pure_ABC_Ch_X,A1C2_Ch3_X1,2,False,False,,Br Cu In Te
mp-14673.cif,Sb9S4F39,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,F S Sb
mp-15380.cif,Sb9Se4F39,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,F Sb Se
mp-16742.cif,BaAgTeF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ag Ba F Te
mp-16801.cif,GdSO4F,oxy_chalcohalide,,2,True,False,Gd O,F Gd O S
mp-17057.cif,Sr2SnSe3F2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,F Se Sn Sr
mp-17676.cif,Sr2SnS3F2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,F S Sn Sr
mp-17745.cif,Mn2Hg2SF6,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Hg,F Hg Mn S
mp-17769.cif,YSO4F,oxy_chalcohalide,,2,True,False,O,F O S Y
mp-17805.cif,Ba2SnSe3F2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Ba F Se Sn
mp-17918.cif,Ba2SnS3F2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Ba F S Sn
mp-17921.cif,NbSeOF7,oxy_chalcohalide,,2,True,False,O,F Nb O Se
mp-18626.cif,Ni2Hg2SF6,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Hg,F Hg Ni S
mp-18838.cif,K2MnSO4F3,oxy_chalcohalide,,3,True,False,O,F K Mn O S
mp-19304.cif,K2MnSO4F3,oxy_chalcohalide,,3,True,False,O,F K Mn O S
mp-1944812.cif,CsSeBr3,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Br Cs Se
mp-19488.cif,Rb2MnSO4F3,oxy_chalcohalide,,3,True,False,O,F Mn O Rb S
mp-2012385.cif,NbSeI,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,I Nb Se
mp-2014596.cif,CsSeBr3,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Br Cs Se
mp-2017348.cif,WSCl4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Cl S W
