formula,pattern,status,source
AgTe3Rh2Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Rh2Cl.cif
AgTe3Rh2F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Rh2F.cif
AgTe3Rh2I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Rh2I.cif
AgTe3Ru2Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Ru2Br.cif
AgTe3Ru2Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Ru2Cl.cif
AgTe3Ru2F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Ru2F.cif
AgTe3Ru2I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3Ru2I.cif
AgTe3W2Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3W2Br.cif
AgTe3W2Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3W2Cl.cif
AgTe3W2F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3W2F.cif
AgTe3W2I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTe3W2I.cif
AgTePdBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePdBr.cif
AgTePdCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePdCl.cif
AgTePdF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePdF.cif
AgTePdI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePdI.cif
AgTePtBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePtBr.cif
AgTePtCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePtCl.cif
AgTePtF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePtF.cif
AgTePtI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgTePtI.cif
AgW2S3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2S3Br.cif
AgW2S3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2S3Cl.cif
AgW2S3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2S3F.cif
AgW2S3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2S3I.cif
AgW2Se3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2Se3Br.cif
AgW2Se3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2Se3Cl.cif
AgW2Se3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2Se3F.cif
AgW2Se3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgW2Se3I.cif
Al2AgS3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgS3Br.cif
Al2AgS3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgS3Cl.cif
Al2AgS3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgS3F.cif
Al2AgS3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgS3I.cif
Al2AgSe3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgSe3Br.cif
Al2AgSe3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgSe3Cl.cif
Al2AgSe3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgSe3F.cif
Al2AgSe3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgSe3I.cif
Al2AgTe3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgTe3Br.cif
Al2AgTe3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgTe3Cl.cif
Al2AgTe3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgTe3F.cif
Al2AgTe3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AgTe3I.cif
Al2AuS3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuS3Br.cif
Al2AuS3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuS3Cl.cif
Al2AuS3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuS3F.cif
Al2AuS3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuS3I.cif
Al2AuSe3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuSe3Br.cif
Al2AuSe3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuSe3Cl.cif
Al2AuSe3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuSe3F.cif
Al2AuSe3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2AuSe3I.cif
Al2CuS3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuS3Br.cif
Al2CuS3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuS3Cl.cif
Al2CuS3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuS3F.cif
Al2CuS3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuS3I.cif
Al2CuSe3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuSe3Br.cif
Al2CuSe3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuSe3Cl.cif
Al2CuSe3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuSe3F.cif
Al2CuSe3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuSe3I.cif
Al2CuTe3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuTe3Br.cif
Al2CuTe3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuTe3Cl.cif
Al2CuTe3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuTe3F.cif
Al2CuTe3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2CuTe3I.cif
Al2Te3AuBr,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2Te3AuBr.cif
Al2Te3AuCl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2Te3AuCl.cif
Al2Te3AuF,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2Te3AuF.cif
Al2Te3AuI,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/Al2Te3AuI.cif
AlCoS2Br,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoS2Br.cif
AlCoS2Cl,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoS2Cl.cif
AlCoS2F,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoS2F.cif
AlCoS2I,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoS2I.cif
AlCoSe2Br,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoSe2Br.cif
AlCoSe2Cl,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoSe2Cl.cif
AlCoSe2F,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoSe2F.cif
AlCoSe2I,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoSe2I.cif
AlCoTe2Br,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoTe2Br.cif
AlCoTe2Cl,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoTe2Cl.cif
AlCoTe2F,B1C1_Ch2_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AlCoTe2F.cif
