structure_id,source_file,source_path,formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass
AgRuSeI2,AgRuSeI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgRuSeI2.cif,AgRuSeI2,Indirect,0.1794,0.1275,Unstable,No
AgSb2S3Br,AgSb2S3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2S3Br.cif,AgSb2S3Br,Indirect,0.5735,0.301,Stable,No
AgSb2S3Cl,AgSb2S3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2S3Cl.cif,AgSb2S3Cl,Indirect,0.5299,0.271,Stable,No
AgSb2S3F,AgSb2S3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2S3F.cif,AgSb2S3F,Indirect,0.634,0.5505,Stable,No
AgSb2S3I,AgSb2S3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2S3I.cif,AgSb2S3I,Indirect,0.6687,0.2994,Stable,No
AgSb2Se3Br,AgSb2Se3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Se3Br.cif,AgSb2Se3Br,Indirect,0.3395,0.2215,Stable,No
AgSb2Se3Cl,AgSb2Se3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Se3Cl.cif,AgSb2Se3Cl,Indirect,0.2987,0.1443,Stable,No
AgSb2Se3F,AgSb2Se3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Se3F.cif,AgSb2Se3F,Indirect,0.8196,0.159,Stable,No
AgSb2Se3I,AgSb2Se3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Se3I.cif,AgSb2Se3I,Indirect,0.4915,0.3084,Stable,No
AgSb2Te3Br,AgSb2Te3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgSb2Te3Br.cif,AgSb2Te3Br,Indirect,0.0184,0.0369,Unstable,No
